UR SO CUTE AND PRETTY ❤❤,positive
you both are so pretty even without makeup,positive
She’s so pretty! And prettier without makeup,positive
Wait you look pretty lol,positive
You are literally so pretty like I wish!!! ❤😍,positive
Wow! She's very pretty.,positive
You're so pretty and the blond was good but I kind of like this color better LOL laugh out loud it's so freaking cool girl let me tell you something right now something funny faith faith my name is,positive
You r so pretty I wish I had ur beauty you are awesome you have so much self confidence and I love you!! ❤❤❤❤,positive
Wow so so pretty. That goes to show longer is not always better. 😊,positive
Very pretty even without hair ❤😊,positive
Girl your so pretty with and without makeup ❤❤❤❤❤❤❤,positive
Girl your so pretty wow😊😊,positive
Looking so pretty 😍😍,positive
Aw thank you so much!🩶😊,positive
❤ beautiful,positive
Only the first girl I see who makeup nicely 😱😍love you Di😘,positive
You are so beautiful,positive
I'm in love with thissss 😍😍😍,positive
You look beautiful 😍,positive
HOW ARE YOU SO GORGEOUS,positive
I think its beatiful without make up,positive
Wow mam so beautiful makeup god bless you 🤩,positive
You look so pretty with that hair color,positive
Aaaaa so pretty❤❤,positive
You’re so pretty even without the makeup!❤,positive
Day Night look so beautiful ❤️❤️🥰,positive
Wow so beautiful you are makeup doing,positive
literally looked better before makeup,positive
You're so cute 😍,positive
Wowwwww❤❤❤,positive
"Awesome video, thank you!  As a 67 year old Hispanic woman, I am definitely NOT represented in the make up world.  I find it even more disturbing when when you go to a store and I experience these sales people selling us items that 18-25 year olds wear that make us look ridiculous!!!!  It breaks my heart.",positive
It’s cute pretty and soooooo beautiful,positive
"Amazing!  I'm 53 and was wondering how to deal with the now downturning eyes!   Great tutorial, gorgeous!",positive
"u could hear the mom gasp, that just shows u how special this moment was in this little girls life",positive
I love her n her personality and she is absolutely gorgeous n sincere in her recommendations. God bless her 🤲🏻💚💚,positive
"You look so beautiful with and without makeup 
"all I can see are 3 beautiful ladies",positive
Omg that so pretty,positive
"You look beautiful, and I'm a big fan 💗 ❤",positive
