kind,commentId,channelId,videoId,authorId,textOriginal,parentCommentId,likeCount,publishedAt,updatedAt,clean_comment,sentiment,category
youtube#comment,2080483,805,92514,3621436,👎👎👎,,0,2023-03-04 23:10:20+00:00,2023-03-04 23:10:20+00:00,👎👎👎,negative,other
youtube#comment,4458642,27537,28697,796829,It’s stupid how you absolutely ate this.,,0,2023-12-09 09:57:20+00:00,2023-12-09 09:57:20+00:00,its stupid how you absolutely ate this,negative,other
youtube#comment,1475878,3865,87124,2049498,AMERICA,,0,2025-05-11 11:28:31+00:00,2025-05-11 11:28:31+00:00,america,positive,other
youtube#comment,1421595,5905,72127,795639,10/10,,0,2025-04-13 11:29:03+00:00,2025-04-13 11:29:03+00:00,1010,positive,other
youtube#comment,2029920,12599,83110,2197699,V,,0,2025-03-16 15:46:59+00:00,2025-03-16 15:46:59+00:00,v,positive,other
youtube#comment,2217992,36357,2482,2534666,Price kitni hai,,0,2025-04-11 08:34:16+00:00,2025-04-11 08:34:16+00:00,price kitni hai,positive,other
youtube#comment,1994846,34895,9501,2418817,"Why do we need to,cover up our beauty? 







(Btw this obviously fake)",,0,2024-04-18 19:15:30+00:00,2024-04-18 19:15:47+00:00,why do we need tocover up our beauty btw this obviously fake,negative,other
youtube#comment,2212449,48704,21761,1616222,Soo cute,,2,2021-03-19 08:01:24+00:00,2021-03-19 08:01:24+00:00,soo cute,spam,other
youtube#comment,2104387,8177,55207,1482613,Super cute,,0,2025-03-01 12:37:48+00:00,2025-03-01 12:37:48+00:00,super cute,spam,other
youtube#comment,3711366,33098,55453,2563955,You just said not to put it behind your ears😼,,1,2023-10-08 03:37:58+00:00,2023-10-08 03:37:58+00:00,you just said not to put it behind your ears😼,positive,other
youtube#comment,2217048,45729,53550,862152,Its like sun and the moon,,0,2025-02-17 18:32:08+00:00,2025-02-17 18:32:08+00:00,its like sun and the moon,positive,general_command
youtube#comment,3304491,32921,52362,2418855,She is so pretty❤,,0,2024-07-28 20:01:52+00:00,2024-07-28 20:01:52+00:00,she is so pretty❤,spam,other
youtube#comment,1266968,2811,38851,2989889,Nice very good👍 video didi😘😘,,0,2021-01-11 14:51:28+00:00,2021-01-11 14:51:28+00:00,nice very good👍 video didi😘😘,positive,other
youtube#comment,4153748,23951,17449,1098700,Love you girl 🦋🩷🩷,,0,2025-05-16 11:01:18+00:00,2025-05-16 11:01:18+00:00,love you girl 🦋🩷🩷,spam,other
youtube#comment,1863957,52502,27116,2547928,Que bonitos cortes!,,0,2024-03-10 22:15:21+00:00,2024-03-10 22:15:21+00:00,que bonitos cortes,positive,other
youtube#comment,4278624,22013,34574,1948872,Can you pls do 🐌🌪️🪞🤒,,0,2024-04-01 02:49:41+00:00,2024-04-01 02:49:41+00:00,can you pls do 🐌🌪🪞🤒,positive,other
youtube#comment,1313779,711,54802,834726,Can someone tell me the piano song that plays in the background,,0,2023-08-09 00:49:47+00:00,2023-08-09 00:49:46+00:00,can someone tell me the piano song that plays in the background,positive,other
youtube#comment,3698406,18073,51351,2732145,Night👌🫰👍,,0,2023-02-28 16:38:58+00:00,2023-02-28 16:38:58+00:00,night👌🫰👍,positive,other
