kind,commentId,channelId,videoId,authorId,textOriginal,parentCommentId,likeCount,publishedAt,updatedAt
youtube#comment,1781382,14492,74288,2032536,"PLEASE LESBIAN FLAG I BEG YOU 

You would rock it",,0,2023-08-15 21:48:52+00:00,2023-08-15 21:48:52+00:00
youtube#comment,289571,14727,79618,3043229,Apply mashed potato juice and mixed it with curd,3198066.0,0,2023-10-02 13:08:22+00:00,2023-10-02 13:08:22+00:00
youtube#comment,569077,3314,51826,917006,69 missed calls from mars👽,,0,2024-05-31 12:03:12+00:00,2024-05-31 12:03:12+00:00
youtube#comment,2957962,5008,58298,1853470,Baaa,,0,2024-02-13 15:48:37+00:00,2024-02-13 15:48:37+00:00
youtube#comment,673093,21411,1265,2584166,you look like raven from phenomena raven no cap,,0,2020-02-15 22:28:44+00:00,2020-02-15 22:28:44+00:00
youtube#comment,1525723,18073,69091,1915402,American,,0,2023-01-17 12:50:08+00:00,2023-01-17 12:50:08+00:00
youtube#comment,3079259,2988,91785,885833,Sahi disha me ja ja raha india ka Future..,,0,2021-09-03 06:51:48+00:00,2021-09-03 06:51:48+00:00
youtube#comment,579871,45729,66477,2775194,❤❤❤❤❤❤❤❤❤❤,,0,2025-01-17 22:08:38+00:00,2025-01-17 22:08:38+00:00
youtube#comment,4596873,18670,88816,1040123,Love your videos. Thank you ❤❤❤,,1,2023-06-24 07:24:06+00:00,2023-06-24 07:24:06+00:00
youtube#comment,910365,25235,31185,1092265,India is  the best and  very beautiful 😍😍😍😍😍😍😍❤️❤️❤️❤️,,0,2025-02-27 14:49:22+00:00,2025-02-27 14:49:22+00:00
youtube#comment,779733,36205,72492,3158722,❤,,1,2023-04-11 07:02:06+00:00,2023-04-11 07:02:06+00:00
youtube#comment,1204214,33644,86518,1756840,This is so true. Skinny jeans always nipped me😭😭😭,,1,2023-06-16 15:14:54+00:00,2023-06-16 15:14:54+00:00
youtube#comment,957058,20162,75828,1548100,Dunia semakin aneh,,0,2023-04-28 04:13:47+00:00,2023-04-28 04:13:47+00:00
youtube#comment,4672340,29550,53751,1064748,I love korean and japanese makeup!,,0,2025-01-25 05:27:14+00:00,2025-01-25 05:27:14+00:00
youtube#comment,2797490,4776,57274,590651,Plz upload a vedio about your teeth transition,,0,2025-02-07 03:57:52+00:00,2025-02-07 03:57:52+00:00
youtube#comment,3439642,42058,80982,3499981,Why don’t you use wigs? Or is it just better to use ur natural hair?,,0,2025-01-24 18:31:34+00:00,2025-01-24 18:31:34+00:00
youtube#comment,1055950,41246,55292,785546,Love,,1,2022-05-08 07:01:29+00:00,2022-05-08 07:01:29+00:00
youtube#comment,2230760,11003,28238,593180,What hair oil did u use because the front of my hair a really short like yours was and I’m trying to grow it out but no hair oils are working so do u know which one u used it’s ok if don’t.,,0,2024-08-08 01:47:19+00:00,2024-08-08 01:47:19+00:00
youtube#comment,211328,17781,87279,2454363,"Oh, I'm so glad that you found this channel then!  Thanks so much for letting me know that the video was helpful.  ❤",3686870.0,1,2023-05-09 04:40:28+00:00,2023-05-09 04:40:28+00:00
youtube#comment,4185450,10928,48281,1352230,Wavy plus straight,,0,2025-05-29 19:04:23+00:00,2025-05-29 19:04:23+00:00
youtube#comment,4465668,8177,43915,1050741,U r looking gorgeous awesome I'm 😳 really falling for u🙂 u really look stunning in Indian look 🫡,,0,2024-05-01 14:47:20+00:00,2024-05-01 14:47:20+00:00
youtube#comment,1193248,32163,52194,570629,"Mai khud bhi nhi bna pati Aisa kuch to... 
U think?????",,0,2024-10-07 07:34:26+00:00,2024-10-07 07:34:26+00:00
youtube#comment,3114706,10049,75992,2502640,RadheKrishna🙏🙏🌸🌸❤❤😍😍🧿🧿🥰🥰,,1,2023-08-07 16:20:05+00:00,2023-08-07 16:20:14+00:00
youtube#comment,1064454,28204,73534,2394454,Like my brother.,,0,2023-12-18 01:25:47+00:00,2023-12-18 01:25:47+00:00
youtube#comment,1840148,6982,71539,1490520,India is the best always,,0,2021-09-21 11:49:25+00:00,2021-09-21 11:49:25+00:00
youtube#comment,4688254,6926,32656,2134228,1999 is my favorite,,0,2023-06-25 12:42:16+00:00,2023-06-25 12:42:16+00:00
youtube#comment,1596643,40105,75208,3610950,💞💞💞💞💞💞💞💞💞🙏🙏🙏🙏🙏🙏🙏🙏👍👍👍👍👍,,0,2025-06-29 11:37:44+00:00,2025-06-29 11:37:44+00:00
youtube#comment,782502,20597,5863,1468549,Beautiful ❤❤❤,,0,2023-09-21 14:57:51+00:00,2023-09-21 14:57:51+00:00
youtube#comment,2040079,29048,14019,1718104,"""The trust the process video""",,1,2023-01-08 09:02:43+00:00,2023-01-08 09:02:43+00:00
youtube#comment,1545851,17911,85153,952089,I have a question for you does this mean you don't got hair down there?,,0,2023-10-12 13:54:18+00:00,2023-10-12 13:54:18+00:00
youtube#comment,3455572,29048,7358,630985,Heyyy video is excellent but why she has to do that much effort and why this kind of makeup it may harm her skin ...and i think that not good,,0,2024-08-14 16:38:56+00:00,2024-08-14 16:38:56+00:00
youtube#comment,3740874,44063,68665,2154711,Friendaa daaa,,0,2021-09-17 22:26:53+00:00,2021-09-17 22:26:53+00:00
